Date,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Vancouver,"Victoria, British Columbia 5","Whitehorse, Yukon 6","Yellowknife, Northwest Territories 6","Iqaluit, Nunavut 7"
2020-08-01,137,139.1,138.3,137.5,136.6,132.9,138.6,137.2,140.8,144.2,132.4,134.7,130.1,133.6,137.5,130.5
2020-09-01,136.9,139.4,138.2,137.5,136.3,132.5,138.3,137.2,140.8,145,132.5,134.8,131.1,133.9,137.1,130.3
2020-10-01,137.5,140.5,138.6,138.4,137,133.1,138.9,138.1,141.6,145.2,132.9,135.3,131.7,134.5,138.6,130.8
2020-11-01,137.7,141,138.3,138.7,136.8,133.5,139,138.4,141.6,145.4,133.3,136,131.7,134.8,138.8,130.9
2020-12-01,137.4,140.4,138.2,138.7,136.9,133.4,138.8,137.5,140.9,144.8,132.8,135.3,131.3,134.9,138.1,131.2
2021-01-01,138.2,142.1,139.7,140.3,138.2,134.3,139.5,138.5,141.9,145.8,133.6,136,131.2,136.1,139.7,132
2021-02-01,138.9,142,140.8,140.8,138.7,135.3,140.2,138.9,142.4,146.4,134.1,136.3,131.9,136.4,139.6,132
2021-03-01,139.6,142.9,142.1,141.8,139.2,135.4,141,139.6,143.3,146.9,134.9,137.4,132.3,136.6,139.9,132
2021-04-01,140.3,143.5,143.2,142.3,140.3,136.2,141.8,140.6,143.9,147.7,135.2,137.6,132.6,137.8,140.5,133.2
2021-05-01,141,144.3,144.2,143.1,141.4,137.3,142.6,141.5,143.7,148.6,135.1,137.3,132.9,138,141.2,133.3
2021-06-01,141.4,144.4,144.8,143.2,141.5,137.7,143.1,141.9,143.8,148.9,135.8,138.1,133.1,138.5,141.1,133.3
2021-07-01,142.3,145.8,146.6,144.2,142.5,138.5,143.7,142.8,144.7,150.3,136.7,139,134,139.8,141.9,133
2021-08-01,142.6,145.8,147,144.5,143,138.7,144.1,143.2,144.9,151,137,139.2,134.3,140.3,143.1,133.9
2021-09-01,142.9,145.6,146.9,144.6,143.3,139.2,144.4,143.6,145.4,150.8,137.2,139.6,134.3,140.5,143.7,133.7
2021-10-01,143.9,146.8,147.8,145.9,144.5,140.2,145.7,144.6,146.1,151.5,137.9,140.4,135.1,141.1,144.4,133.6
2021-11-01,144.2,146.9,148,146,144.6,140.5,146,144.7,146.8,151.6,138.1,140.4,135.9,140.3,144.3,133.9
2021-12-01,144,146.3,147.4,145.4,144.3,140.2,146,144,145.9,151.7,138,140.5,135.7,140.8,144.8,134.7
2022-01-01,145.3,147.8,149.6,147.2,145.5,141.1,147.4,146.1,147.8,152.8,139.4,141.9,136.8,141.1,145.3,134.8
2022-02-01,146.8,149.3,151.2,148.8,147,142.6,148.8,147.4,149.1,154.5,140.4,142.9,138.5,142.5,147.2,135.8
2022-03-01,148.9,151.9,154.7,151.4,149.5,144.5,150.8,149.9,151.4,156.5,143,145.3,140.4,144.9,149.6,136.9
2022-04-01,149.8,153,156,152.4,150.9,145.5,151.6,151.1,152.4,157,144.2,146.7,141.7,145.8,150.3,137.8
2022-05-01,151.9,155.8,160.2,155.7,153.8,147.6,153.7,153.8,153.8,159.2,146.1,148.5,143.8,147.9,151.8,138
2022-06-01,152.9,156.2,160.6,156.5,154.4,148.7,154.4,155.3,155.4,161.4,146.5,148.8,144.3,149.2,152.8,139
2022-07-01,153.1,155.9,160.5,156.7,153.9,148.6,154.6,155.3,156.4,161.4,147.6,149.7,145,150.6,153.2,139.9
2022-08-01,152.6,155.1,159.2,155.7,153.6,148.6,154.1,154.6,154.8,160,147,149.5,144.3,151,152.7,140.3
2022-09-01,152.7,154.5,159.2,155.2,153.1,148.3,154.1,155.2,155.7,160.1,147.8,150.3,145.1,151,154.7,140.4
2022-10-01,153.8,156.4,160.7,157.1,154.4,149.2,155.2,156.7,157.8,161.8,148.6,150.7,145.8,151.8,154.7,139.4
2022-11-01,154,156.8,162.3,158.5,155.9,150.1,155.4,157,157,161.6,148.1,150.3,145,152,155.6,139.6
2022-12-01,153.1,154.6,158.8,156.4,153.4,149,154.8,155.5,155.7,160.8,147.1,149.5,144.4,152.2,155,138.7
2023-01-01,153.9,155.9,160.1,157.3,154.9,149.9,155.7,156.2,156.7,160.5,148.1,150.3,145.7,152.3,154.4,139.4
2023-02-01,154.5,157.4,161.4,158.4,155.6,150.6,156.4,156.9,157.6,160.1,149.1,151.3,146.8,152.5,155.8,140
2023-03-01,155.3,157,160.7,158.4,155.8,151.3,157.3,157.7,158.8,161.7,149.7,152.3,147.5,152.9,156.5,140.8
